filename,type_a,type_b,type_c,type_d,echo,top_folder,subfolder,subtype,species_common,species_latin,relative_path
XC1011587 - Brown Long-eared Bat - Plecotus auritus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Brown Long-eared Bat,Plecotus auritus,type C\General\XC1011587 - Brown Long-eared Bat - Plecotus auritus.wav
XC1012744 - Common Noctule - Nyctalus noctula.wav,0,0,1,1,0,type C+type D,Noctule,C.noctule+D.noctule,Common Noctule,Nyctalus noctula,type C\Noctule\XC1012744 - Common Noctule - Nyctalus noctula.wav
XC1012768 - Common Noctule - Nyctalus noctula.wav,0,0,0,1,0,type D,Noctule,D.noctule,Common Noctule,Nyctalus noctula,type D\Noctule\XC1012768 - Common Noctule - Nyctalus noctula.wav
XC1012802 - Common Noctule - Nyctalus noctula.wav,0,0,0,1,0,type D,Noctule,D.noctule,Common Noctule,Nyctalus noctula,type D\Noctule\XC1012802 - Common Noctule - Nyctalus noctula.wav
XC1012854 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,0,type C,Noctule,C.noctule,Common Noctule,Nyctalus noctula,type C\Noctule\XC1012854 - Common Noctule - Nyctalus noctula.wav
XC1013073 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,0,type C,Noctule,C.noctule,Common Noctule,Nyctalus noctula,type C\Noctule\XC1013073 - Common Noctule - Nyctalus noctula.wav
XC1013138 - Common Noctule - Nyctalus noctula.wav,0,0,0,1,0,type D,Noctule,D.noctule,Common Noctule,Nyctalus noctula,type D\Noctule\XC1013138 - Common Noctule - Nyctalus noctula.wav
XC1015575 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1015575 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016092 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1016092 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1016093 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1016093 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1016847 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1016847 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1016861 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016861 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016862 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016862 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016864 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016864 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016867 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016867 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016869 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016869 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016870 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016870 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016871 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016871 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016873 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016873 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016875 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016875 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016876 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016876 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016877 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016877 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016881 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016881 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016882 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016882 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016883 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016883 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016884 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016884 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016885 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016885 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016886 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016886 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016887 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016887 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016888 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016888 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016890 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016890 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016891 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016891 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016892 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016892 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016894 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016894 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016895 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016895 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016896 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016896 - Eurasian Serotine - Eptesicus serotinus.wav
XC1016899 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Common Pipistrelle,Pipistrellus pipistrellus,type C\General\XC1016899 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1016901 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1016901 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017056 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1017056 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017057 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1017057 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017058 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,0,type C,General,C.general,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1017058 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017059 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,0,type C,General,C.general,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1017059 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017060 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1017060 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017064 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1017064 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017067 - Eurasian Serotine - Eptesicus serotinus.wav,1,0,1,0,1,echolocation+type A+type C,C.i,C.general+C.i+echolocation+type_a,Eurasian Serotine,Eptesicus serotinus,type A\XC1017067 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017069 - Eurasian Serotine - Eptesicus serotinus.wav,1,0,1,0,0,type A+type C,C.i,C.general+C.i+type_a,Eurasian Serotine,Eptesicus serotinus,type A\XC1017069 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017071 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,0,type C,C.i,C.i,Eurasian Serotine,Eptesicus serotinus,type C\C.i\XC1017071 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017075 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,0,type C,C.i,C.i,Eurasian Serotine,Eptesicus serotinus,type C\C.i\XC1017075 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017083 - Eurasian Serotine - Eptesicus serotinus.wav,0,1,1,0,0,type B+type C,roosting,B.roosting+C.i,Eurasian Serotine,Eptesicus serotinus,type B\roosting\XC1017083 - Eurasian Serotine - Eptesicus serotinus.wav
XC1017413 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1017413 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1017415 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1017415 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1024353 - Common Noctule - Nyctalus noctula.mp3,1,0,0,0,0,type A,,type_a,Common Noctule,Nyctalus noctula,type A\XC1024353 - Common Noctule - Nyctalus noctula.mp3
XC1026121 - Eurasian Serotine - Eptesicus serotinus.wav,0,1,0,0,1,echolocation+type B,roosting,B.roosting+echolocation,Eurasian Serotine,Eptesicus serotinus,type B\roosting\XC1026121 - Eurasian Serotine - Eptesicus serotinus.wav
XC1029572 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,C.d advertisement,C.d_advertisement+echolocation,Common Noctule,Nyctalus noctula,type C\C.d advertisement\XC1029572 - Common Noctule - Nyctalus noctula.wav
XC1029576 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,C.d advertisement,C.d_advertisement+echolocation,Common Noctule,Nyctalus noctula,type C\C.d advertisement\XC1029576 - Common Noctule - Nyctalus noctula.wav
XC1030147 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,0,type D,Part D Nathusius,D.part_d_nathusius,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1030147 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1031435 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,echolocation+type C,C.d flying,C.d_flying+echolocation,Common Pipistrelle,Pipistrellus pipistrellus,type C\C.d flying\XC1031435 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031440 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,echolocation+type C,C.d flying,C.d_flying+echolocation,Common Pipistrelle,Pipistrellus pipistrellus,type C\C.d flying\XC1031440 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031442 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,echolocation+type C,C.d flying,C.d_flying+echolocation,Common Pipistrelle,Pipistrellus pipistrellus,type C\C.d flying\XC1031442 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031443 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,echolocation+type C,C.d flying,C.d_flying+echolocation,Common Pipistrelle,Pipistrellus pipistrellus,type C\C.d flying\XC1031443 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031660 - Soprano Pipistrelle - Pipistrellus pygmaeus.wav,1,0,0,0,0,type A,,type_a,Soprano Pipistrelle,Pipistrellus pygmaeus,type A\XC1031660 - Soprano Pipistrelle - Pipistrellus pygmaeus.wav
XC1031661 - Soprano Pipistrelle - Pipistrellus pygmaeus.wav,1,0,0,0,0,type A,,type_a,Soprano Pipistrelle,Pipistrellus pygmaeus,type A\XC1031661 - Soprano Pipistrelle - Pipistrellus pygmaeus.wav
XC1031662 - Soprano Pipistrelle - Pipistrellus pygmaeus.wav,1,1,0,0,0,type A+type B,roosting,B.roosting+type_a,Soprano Pipistrelle,Pipistrellus pygmaeus,type A\XC1031662 - Soprano Pipistrelle - Pipistrellus pygmaeus.wav
XC1031809 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,0,type D,Part D Nathusius,D.part_d_nathusius,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1031809 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1033511 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1033511 - Eurasian Serotine - Eptesicus serotinus.wav
XC1033960 - Brown Long-eared Bat - Plecotus auritus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Brown Long-eared Bat,Plecotus auritus,type C\General\XC1033960 - Brown Long-eared Bat - Plecotus auritus.wav
XC1033964 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1033964 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1033965 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1033965 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1033967 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1033967 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1034102 - Leisler's Noctule - Nyctalus leisleri.wav,0,0,1,0,0,type C,C.d advertisement,C.d_advertisement,Leisler's Noctule,Nyctalus leisleri,type C\C.d advertisement\XC1034102 - Leisler's Noctule - Nyctalus leisleri.wav
XC1034103 - Leisler's Noctule - Nyctalus leisleri.wav,0,0,1,0,0,type C,C.d advertisement,C.d_advertisement,Leisler's Noctule,Nyctalus leisleri,type C\C.d advertisement\XC1034103 - Leisler's Noctule - Nyctalus leisleri.wav
XC1034104 - Leisler's Noctule - Nyctalus leisleri.wav,0,0,1,0,0,type C,C.d advertisement,C.d_advertisement,Leisler's Noctule,Nyctalus leisleri,type C\C.d advertisement\XC1034104 - Leisler's Noctule - Nyctalus leisleri.wav
XC1034106 - Leisler's Noctule - Nyctalus leisleri.wav,0,0,1,0,0,type C,C.d advertisement,C.d_advertisement,Leisler's Noctule,Nyctalus leisleri,type C\C.d advertisement\XC1034106 - Leisler's Noctule - Nyctalus leisleri.wav
XC1034179 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1034179 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1036361 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1036361 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1036365 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1036365 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1036367 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,0,type D,Part D Nathusius,D.part_d_nathusius,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1036367 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1036371 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,0,type D,Part D Nathusius,D.part_d_nathusius,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1036371 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1036680 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,1,1,1,echolocation+type C+type D,General,C.general+D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type C\General\XC1036680 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1036683 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1036683 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1036684 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1036684 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1036918 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1036918 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1040338 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1040338 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1040663 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1040663 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1040664 - Common Noctule - Nyctalus noctula.wav,1,0,0,0,0,type A,,type_a,Common Noctule,Nyctalus noctula,type A\XC1040664 - Common Noctule - Nyctalus noctula.wav
XC1041831 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1041831 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1041840 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1041840 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1043216 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,1,echolocation+type A,,echolocation+type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043216 - Daubenton's Myotis - Myotis daubentonii.wav
XC1043232 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043232 - Daubenton's Myotis - Myotis daubentonii.wav
XC1043233 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043233 - Daubenton's Myotis - Myotis daubentonii.wav
XC1043234 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043234 - Daubenton's Myotis - Myotis daubentonii.wav
XC1043236 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043236 - Daubenton's Myotis - Myotis daubentonii.wav
XC1043239 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043239 - Daubenton's Myotis - Myotis daubentonii.wav
XC1043240 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043240 - Daubenton's Myotis - Myotis daubentonii.wav
XC1043242 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043242 - Daubenton's Myotis - Myotis daubentonii.wav
XC1043243 - Daubenton's Myotis - Myotis daubentonii.wav,1,0,0,0,0,type A,,type_a,Daubenton's Myotis,Myotis daubentonii,type A\XC1043243 - Daubenton's Myotis - Myotis daubentonii.wav
XC759030 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC759030 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC759037 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,0,type D,Thrills Nathusius,D.thrills_nathusius,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC759037 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC759430 - Common Noctule - Nyctalus noctula.wav,0,0,1,0,1,echolocation+type C,Noctule,C.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC759430 - Common Noctule - Nyctalus noctula.wav
XC818775 - Common Noctule - Nyctalus noctula.wav,0,0,0,1,1,echolocation+type D,Noctule,D.noctule+echolocation,Common Noctule,Nyctalus noctula,type D\Noctule\XC818775 - Common Noctule - Nyctalus noctula.wav
XC822333 - Leisler's Noctule - Nyctalus leisleri.wav,1,0,0,0,1,echolocation+type A,,echolocation+type_a,Leisler's Noctule,Nyctalus leisleri,type A\XC822333 - Leisler's Noctule - Nyctalus leisleri.wav
XC826467 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC826467 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC828055 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC828055 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC828059 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+D.part_e_nathusius+D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC828059 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC829780 - Brown Long-eared Bat - Plecotus auritus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Brown Long-eared Bat,Plecotus auritus,type C\General\XC829780 - Brown Long-eared Bat - Plecotus auritus.wav
XC831961 - Common Whiskered Myotis - Myotis mystacinus.wav,0,1,0,0,1,echolocation+type B,in flight,B.in_flight+echolocation,Common Whiskered Myotis,Myotis mystacinus,type B\in flight\XC831961 - Common Whiskered Myotis - Myotis mystacinus.wav
XC910857 - Common Noctule - Nyctalus noctula.wav,1,0,0,0,0,type A,,type_a,Common Noctule,Nyctalus noctula,type A\XC910857 - Common Noctule - Nyctalus noctula.wav
XC910858 - Common Noctule - Nyctalus noctula.wav,0,0,1,1,0,type C+type D,Noctule,C.noctule+D.noctule,Common Noctule,Nyctalus noctula,type C\Noctule\XC910858 - Common Noctule - Nyctalus noctula.wav
XC910862 - Common Noctule - Nyctalus noctula.wav,0,0,1,1,0,type C+type D,Noctule,C.noctule+D.noctule,Common Noctule,Nyctalus noctula,type C\Noctule\XC910862 - Common Noctule - Nyctalus noctula.wav
XC910864 - Common Noctule - Nyctalus noctula.wav,0,0,1,1,0,type C+type D,Noctule,C.noctule+D.noctule,Common Noctule,Nyctalus noctula,type C\Noctule\XC910864 - Common Noctule - Nyctalus noctula.wav
XC910867 - Common Noctule - Nyctalus noctula.wav,0,0,1,1,0,type C+type D,Noctule,C.noctule+D.noctule,Common Noctule,Nyctalus noctula,type C\Noctule\XC910867 - Common Noctule - Nyctalus noctula.wav
